"LGA (EN)", "Count",
"Albury",55874,
"Armidale",28998,
"Ballina",46351,
"Balranald",2336,
"Bathurst",43740,
"Bayside (NSW)",175777,
"Bega Valley",36298,
"Bellingen",13500,
"Berrigan",8484,
"Blacktown",397215,
"Bland",5783,
"Blayney",7422,
"Blue Mountains",77990,
"Bogan",2579,
"Bourke",2512,
"Brewarrina",1430,
"Broken Hill",17779,
"Burwood",40289,
"Byron",36727,
"Cabonne",13714,
"Camden",119053,
"Campbelltown (NSW)",176407,
"Canada Bay",89330,
"Canterbury-Bankstown",369754,
"Carrathool",3028,
"Central Coast (NSW)",346101,
"Central Darling",1992,
"Cessnock",63502,
"Clarence Valley",55004,
"Cobar",4411,
"Coffs Harbour",79880,
"Coolamon",4316,
"Coonamble",3858,
"Cootamundra-Gundagai",11434,
"Cowra",12790,
"Cumberland",235292,
"Dubbo",54882,
"Dungog",9579,
"Edward River",8393,
"Eurobodalla",41253,
"Fairfield",207740,
"Federation",12620,
"Forbes",9467,
"Georges River",152311,
"Gilgandra",4350,
"Glen Innes Severn",8908,
"Goulburn Mulwaree",32506,
"Greater Hume",11024,
"Griffith",27442,
"Gunnedah",13078,
"Gwydir",4949,
"Hawkesbury",67104,
"Hay",2889,
"Hilltops",19230,
"Hornsby",151261,
"Hunters Hill",13307,
"Inner West",180469,
"Inverell",17937,
"Junee",6503,
"Kempsey",31310,
"Kiama",22955,
"Ku-ring-gai",123608,
"Kyogle",9435,
"Lachlan",6110,
"Lake Macquarie",211536,
"Lane Cove",39010,
"Leeton",11419,
"Lismore",44778,
"Lithgow",20926,
"Liverpool",234017,
"Liverpool Plains",7586,
"Lockhart",3276,
"Maitland",89772,
"Mid-Coast",97486,
"Mid-Western",26064,
"Moree Plains",13300,
"Mosman",27675,
"Murray River",12610,
"Murrumbidgee",3309,
"Muswellbrook",16585,
"Nambucca Valley",20779,
"Narrabri",13151,
"Narrandera",5681,
"Narromine",6315,
"Newcastle",167897,
"North Sydney",67807,
"Northern Beaches",261159,
"Oberon",5641,
"Orange",44037,
"Parkes",14397,
"Parramatta",257725,
"Penrith",217772,
"Port Macquarie-Hastings",87437,
"Port Stephens",74510,
"Queanbeyan-Palerang",63069,
"Randwick",133460,
"Richmond Valley",23824,
"Ryde",129225,
"Shellharbour",75928,
"Shoalhaven",109178,
"Singleton",24899,
"Snowy Monaro",27496,
"Snowy Valleys",14940,
"Strathfield",45517,
"Sutherland",228505,
"Sydney",217369,
"Tamworth",63464,
"Temora",6031,
"Tenterfield",7108,
"The Hills",191975,
"Tweed",98247,
"Upper Hunter",14407,
"Upper Lachlan",8574,
"Uralla",5947,
"Wagga Wagga",68783,
"Walcha",2999,
"Walgett",5672,
"Warren",2625,
"Warrumbungle",9423,
"Waverley",67453,
"Weddin",3534,
"Wentworth",7726,
"Willoughby",76269,
"Wingecarribee",53166,
"Wollondilly",53664,
"Wollongong",213680,
"Woollahra",51999,
"Yass Valley",17332,
"Unincorporated NSW",1236,
"Migratory - Offshore - Shipping (NSW)",38,
"Alpine",13583,
"Ararat",11855,
"Ballarat",113214,
"Banyule",126037,
"Bass Coast",40410,
"Baw Baw",56689,
"Bayside (Vic.)",99827,
"Benalla",14420,
"Boroondara",166047,
"Brimbank",194566,
"Buloke",6246,
"Campaspe",38533,
"Cardinia",117385,
"Casey",364455,
"Central Goldfields",13382,
"Colac Otway",22426,
"Corangamite",15917,
"Darebin",147394,
"East Gippsland",48411,
"Frankston",138641,
"Gannawarra",10579,
"Glen Eira",147729,
"Glenelg",19924,
"Golden Plains",24665,
"Greater Bendigo",120882,
"Greater Dandenong",158636,
"Greater Geelong",268740,
"Greater Shepparton",68070,
"Hepburn",16488,
"Hindmarsh",5642,
"Hobsons Bay",90654,
"Horsham",20362,
"Hume",244021,
"Indigo",17041,
"Kingston (Vic.)",157122,
"Knox",158680,
"Latrobe (Vic.)",77339,
"Loddon",7712,
"Macedon Ranges",50839,
"Manningham",124080,
"Mansfield",10325,
"Maribyrnong",84688,
"Maroondah",114097,
"Melbourne",154742,
"Melton",178815,
"Mildura",57169,
"Mitchell",49396,
"Moira",30298,
"Monash",191160,
"Moonee Valley",120758,
"Moorabool",37265,
"Moreland",170008,
"Mornington Peninsula",167832,
"Mount Alexander",20192,
"Moyne",17167,
"Murrindindi",15192,
"Nillumbik",62066,
"Northern Grampians",11992,
"Port Phillip",100899,
"Pyrenees",7585,
"Queenscliffe",3334,
"South Gippsland",30347,
"Southern Grampians",16515,
"Stonnington",103335,
"Strathbogie",11387,
"Surf Coast",37490,
"Swan Hill",21542,
"Towong",6018,
"Wangaratta",29629,
"Warrnambool",35348,
"Wellington",45280,
"West Wimmera",3968,
"Whitehorse",169189,
"Whittlesea",229346,
"Wodonga",42875,
"Wyndham",292356,
"Yarra",89258,
"Yarra Ranges",154007,
"Yarriambiack",6466,
"Unincorporated Vic",4402,
"Migratory - Offshore - Shipping (Vic.)",565,
"Aurukun",1086,
"Balonne",4660,
"Banana",16066,
"Barcaldine",3454,
"Barcoo",497,
"Blackall Tambo",2164,
"Boulia",608,
"Brisbane",1244928,
"Bulloo",543,
"Bundaberg",100918,
"Burdekin",17199,
"Burke",1179,
"Cairns",172782,
"Carpentaria",3519,
"Cassowary Coast",31804,
"Central Highlands (Qld)",32249,
"Charters Towers",13175,
"Cherbourg",1169,
"Cloncurry",5636,
"Cook",7547,
"Croydon",423,
"Diamantina",407,
"Doomadgee",1460,
"Douglas",15742,
"Etheridge",1549,
"Flinders (Qld)",1849,
"Fraser Coast",113054,
"Gladstone",65294,
"Gold Coast",629625,
"Goondiwindi",10499,
"Gympie",53502,
"Hinchinbrook",11587,
"Hope Vale",987,
"Ipswich",228206,
"Isaac",32862,
"Kowanyama",1040,
"Livingstone",40024,
"Lockhart River",634,
"Lockyer Valley",40662,
"Logan",342877,
"Longreach",4304,
"Mackay",120355,
"McKinlay",1836,
"Mapoon",475,
"Maranoa",13891,
"Mareeba",23929,
"Moreton Bay",471880,
"Mornington",999,
"Mount Isa",21198,
"Murweh",4336,
"Napranum",858,
"Noosa",58643,
"North Burnett",10662,
"Northern Peninsula Area",3201,
"Palm Island",2077,
"Paroo",2036,
"Pormpuraaw",730,
"Quilpie",866,
"Redland",157828,
"Richmond",903,
"Rockhampton",81697,
"Scenic Rim",43312,
"Somerset",25071,
"South Burnett",32969,
"Southern Downs",36259,
"Sunshine Coast",344266,
"Tablelands",28097,
"Toowoomba",172720,
"Torres",3742,
"Torres Strait Island",3933,
"Townsville",194648,
"Weipa",4534,
"Western Downs",35845,
"Whitsunday",43176,
"Winton",1750,
"Woorabinda",1009,
"Wujal Wujal",279,
"Yarrabah",2490,
"Migratory - Offshore - Shipping (Qld)",385,
"Adelaide",29433,
"Adelaide Hills",39854,
"Adelaide Plains",9650,
"Alexandrina",28170,
"Anangu Pitjantjatjara Yunkunytjatjara",2427,
"Barossa",24729,
"Barunga West",2617,
"Berri Barmera",10661,
"Burnside",45763,
"Campbelltown (SA)",54397,
"Ceduna",3731,
"Charles Sturt",120845,
"Clare and Gilbert Valleys",9213,
"Cleve",1759,
"Coober Pedy",2145,
"Copper Coast",14876,
"Elliston",1154,
"Flinders Ranges",1855,
"Franklin Harbour",1292,
"Gawler",24778,
"Goyder",4059,
"Grant",8449,
"Holdfast Bay",37196,
"Kangaroo Island",5033,
"Karoonda East Murray",968,
"Kimba",1033,
"Kingston (SA)",2249,
"Light",15558,
"Lower Eyre Peninsula",5885,
"Loxton Waikerie",11766,
"Maralinga Tjarutja",102,
"Marion",93633,
"Mid Murray",9230,
"Mitcham",67295,
"Mount Barker",38514,
"Mount Gambier",26686,
"Mount Remarkable",3123,
"Murray Bridge",21417,
"Naracoorte Lucindale",8591,
"Northern Areas",4499,
"Norwood Payneham and St Peters",37262,
"Onkaparinga",172465,
"Orroroo Carrieton",912,
"Peterborough",1690,
"Playford",98798,
"Port Adelaide Enfield",131681,
"Port Augusta",14345,
"Port Lincoln",14255,
"Port Pirie",17310,
"Prospect",22047,
"Renmark Paringa",10421,
"Robe",1629,
"Roxby Downs",6752,
"Salisbury",144940,
"Southern Mallee",1990,
"Streaky Bay",2240,
"Tatiara",6889,
"Tea Tree Gully",99991,
"Coorong",5403,
"Tumby Bay",2824,
"Unley",38246,
"Victor Harbor",15933,
"Wakefield",6745,
"Walkerville",8109,
"Wattle Range",11561,
"West Torrens",61293,
"Whyalla",21501,
"Wudinna",1176,
"Yankalilla",5812,
"Yorke Peninsula",11687,
"Unincorporated SA",6282,
"Migratory - Offshore - Shipping (SA)",40,
"Albany",38102,
"Armadale",92423,
"Ashburton",15541,
"Augusta Margaret River",16524,
"Bassendean",15542,
"Bayswater",67963,
"Belmont",41953,
"Beverley",1620,
"Boddington",2011,
"Boyup Brook",1790,
"Bridgetown-Greenbushes",5177,
"Brookton",909,
"Broome",25576,
"Broomehill-Tambellup",1017,
"Bruce Rock",968,
"Bunbury",32469,
"Busselton",40131,
"Cambridge",28483,
"Canning",94408,
"Capel",17459,
"Carnamah",575,
"Carnarvon",8266,
"Chapman Valley",1533,
"Chittering",5719,
"Christmas Island",1987,
"Claremont",10991,
"Cockburn",115575,
"Cocos Islands",708,
"Collie",8589,
"Coolgardie",4488,
"Coorow",1052,
"Corrigin",965,
"Cottesloe",7689,
"Cranbrook",1043,
"Cuballing",862,
"Cue",560,
"Cunderdin",1318,
"Dalwallinu",1392,
"Dandaragan",3671,
"Dardanup",14107,
"Denmark",6336,
"Derby-West Kimberley",9279,
"Donnybrook-Balingup",5964,
"Dowerin",685,
"Dumbleyung",674,
"Dundas",1056,
"East Fremantle",7641,
"East Pilbara",20742,
"Esperance",13875,
"Exmouth",6510,
"Fremantle",31729,
"Gingin",5395,
"Gnowangerup",1208,
"Goomalling",940,
"Gosnells",124686,
"Greater Geraldton",39361,
"Halls Creek",4898,
"Harvey",27585,
"Irwin",3899,
"Jerramungup",1151,
"Joondalup",156162,
"Kalamunda",57243,
"Kalgoorlie-Boulder",30673,
"Karratha",27682,
"Katanning",4061,
"Kellerberrin",1117,
"Kent",480,
"Kojonup",1847,
"Kondinin",1105,
"Koorda",354,
"Kulin",719,
"Kwinana",44805,
"Lake Grace",1253,
"Laverton",3929,
"Leonora",3752,
"Mandurah",85956,
"Manjimup",9085,
"Meekatharra",2388,
"Melville",102196,
"Menzies",1379,
"Merredin",3133,
"Mingenew",530,
"Moora",2362,
"Morawa",743,
"Mosman Park",8930,
"Mount Magnet",1356,
"Mount Marshall",440,
"Mukinbudin",598,
"Mundaring",37765,
"Murchison",169,
"Murray",17239,
"Nannup",1563,
"Narembeen",770,
"Narrogin",4808,
"Nedlands",22132,
"Ngaanyatjarraku",1444,
"Northam",11145,
"Northampton",4355,
"Nungarin",250,
"Peppermint Grove",1583,
"Perenjori",1090,
"Perth",33193,
"Pingelly",995,
"Plantagenet",5227,
"Port Hedland",18788,
"Quairading",935,
"Ravensthorpe",2592,
"Rockingham",131213,
"Sandstone",283,
"Serpentine-Jarrahdale",31167,
"Shark Bay",2976,
"South Perth",42818,
"Stirling",221880,
"Subiaco",17183,
"Swan",150408,
"Tammin",374,
"Three Springs",612,
"Toodyay",4398,
"Trayning",285,
"Upper Gascoyne",310,
"Victoria Park",37008,
"Victoria Plains",771,
"Vincent",35588,
"Wagin",1657,
"Wandering",514,
"Wanneroo",203769,
"Waroona",4098,
"West Arthur",752,
"Westonia",396,
"Wickepin",659,
"Williams",997,
"Wiluna",1306,
"Wongan-Ballidu",1278,
"Woodanilling",430,
"Wyalkatchem",459,
"Wyndham-East Kimberley",11122,
"Yalgoo",1061,
"Yilgarn",1887,
"York",3423,
"Migratory - Offshore - Shipping (WA)",3413,
"Break O'Day",6818,
"Brighton",18834,
"Burnie",19873,
"Central Coast (Tas.)",22294,
"Central Highlands (Tas.)",2564,
"Circular Head",8111,
"Clarence",60707,
"Derwent Valley",10902,
"Devonport",25883,
"Dorset",6736,
"Flinders (Tas.)",927,
"George Town",6963,
"Glamorgan-Spring Bay",5176,
"Glenorchy",50107,
"Hobart",56589,
"Huon Valley",18045,
"Kentish",6713,
"King Island",1523,
"Kingborough",39303,
"Latrobe (Tas.)",12086,
"Launceston",70354,
"Meander Valley",20469,
"Northern Midlands",13579,
"Sorell",16413,
"Southern Midlands",6604,
"Tasman",2561,
"Waratah-Wynyard",14161,
"West Coast",4547,
"West Tamar",24684,
"Migratory - Offshore - Shipping (Tas.)",378,
"Alice Springs",29048,
"Barkly",7654,
"Belyuen",150,
"Central Desert",4639,
"Coomalie",2155,
"Darwin",89361,
"Darwin Waterfront Precinct",649,
"East Arnhem",9618,
"Katherine",11808,
"Litchfield",28223,
"MacDonnell",7021,
"Palmerston",37174,
"Roper Gulf",10029,
"Tiwi Islands",2391,
"Victoria Daly",3840,
"Wagait",410,
"West Arnhem",8122,
"West Daly",3005,
"Unincorporated NT",8730,
"Migratory - Offshore - Shipping (NT)",494,
"Unincorporated ACT",453453,
"Migratory - Offshore - Shipping (ACT)",0,
"Unincorp. Other Territories",2749,
"Migratory - Offshore - Shipping (OT)",0,